Douai|39842|50.379896|3.094897
Montélimar|39790|44.553424|4.745639
Poissy|39731|48.930576|2.033748
Le Lamentin|39628|14.636808|-60.991071
Gagny|39588|48.881899|2.545588
Draguignan|39434|43.531436|6.460296
Stains|39193|48.958271|2.382433
Joué-lès-Tours|38750|47.336276|0.657551
Marcq-en-Barœul|38604|50.676748|3.100594
Bagnolet|38470|48.8676|2.425015
Saint-Joseph|38465|-21.33234|55.642882
Villenave-d'Ornon|38444|44.77508|-0.55453
Chartres|38443|48.446525|1.502286
Villepinte|38204|48.956508|2.532434
Saint-Martin-d'Hères|38188|45.178447|5.762952
Pontault-Combault|37579|48.793885|2.609169
Annemasse|37485|46.189327|6.243054
Franconville|37347|48.98921|2.224145
Savigny-sur-Orge|37190|48.685402|2.349213
Saint-Benoît|36994|-21.061555|55.694963
Échirolles|36970|45.146112|5.715024
Thonon-les-Bains|36626|46.3759|6.478152
Neuilly-sur-Marne|36535|48.864605|2.537616
Tremblay-en-France|36477|48.97725|2.55497
La Ciotat|36441|43.189161|5.626161
Creil|35970|49.257474|2.478561
Conflans-Sainte-Honorine|35957|49.000025|2.099679
Saint-Raphaël|35881|45.798411|-1.048901
Sainte-Geneviève-des-Bois|35879|48.639041|2.327655
Dumbéa|35873|-22.167114|166.457266
Athis-Mons|35641|48.70896|2.384591
Haguenau|35448|48.821115|7.774191
Six-Fours-les-Plages|35339|43.092517|5.817443
Saint-Chamond|35309|45.470463|4.505748
Meyzieu|35134|45.774496|5.008024
Villeneuve-Saint-Georges|34845|48.738782|2.449705
Palaiseau|34750|48.716454|2.232499
Saint-Leu|34740|-21.184486|55.30892
Matoury|34474|4.826168|-52.337358
Vitrolles|34418|43.443845|5.258646
Roanne|34415|46.043412|4.072015
Mâcon|34414|47.785805|5.344728
Sainte-Marie|34350|-20.931942|55.540099
Auxerre|34151|47.791247|3.579905
Schiltigheim|33993|48.610895|7.741941
Montluçon|33822|46.342257|2.605232
Le Perreux-sur-Marne|33697|48.8435|2.504424
Nogent-sur-Marne|33578|48.837475|2.480913
Les Mureaux|33543|48.985616|1.911379
Trappes|33419|48.778249|1.993009
La Possession|33370|-20.942136|55.359933
Houilles|33250|48.926572|2.186545
Romans-sur-Isère|32818|45.058453|5.046324
Le Port|32619|-20.946815|55.304974
Marignane|32515|43.415837|5.220936
Lens|32458|50.437662|2.81908
Saint-Médard-en-Jalles|32357|44.891628|-0.761713
Nevers|32284|46.988535|3.160778
Agen|32214|44.202304|0.631041
Koungou|32156|-12.737452|45.196571
Pontoise|31973|49.047592|2.099968
Bezons|31866|48.927132|2.214879
Montigny-le-Bretonneux|31854|48.779563|2.033014
Épinal|31832|48.170059|6.484474
Saint-Martin|31801|18.087049|-63.077393
Herblay-sur-Seine|31747|49.004061|2.152445
L'Haÿ-les-Roses|31647|48.776851|2.341617
Châtellerault|31573|49.765099|1.957149
Cambrai|31559|50.172628|3.240712
Vigneux-sur-Seine|31495|48.705366|2.426026
Romainville|31469|48.884085|2.438056
Pierrefitte-sur-Seine|31344|48.960528|2.364215
Malakoff|31230|48.81742|2.294086
Aix-les-Bains|31100|45.689927|5.9099
Le Chesnay-Rocquencourt|31057|48.826372|2.118964
Goussainville|30910|49.027742|2.46692
Plaisir|30897|48.812226|1.946353
Rillieux-la-Pape|30887|45.818589|4.892707
Thiais|30788|48.760465|2.386991
Dreux|30744|48.745749|1.36554
Menton|30679|43.791521|7.500604
Villemomble|30583|48.886661|2.508715
Bègles|30543|44.802072|-0.551312
Baie-Mahault|30316|16.245166|-61.594891
Cachan|30214|48.791346|2.331515
Savigny-le-Temple|30169|48.587726|2.576659
Saint-Laurent-du-Var|30141|43.686846|7.18367
Liévin|30102|50.424192|2.769683
Vienne|30059|45.526486|4.88366
Mont-de-Marsan|29953|43.891274|-0.50031
Carpentras|29865|44.062749|5.057038
Vandœuvre-lès-Nancy|29723|48.661501|6.162621
Chatou|29709|48.896627|2.148267
Villiers-sur-Marne|29672|48.827824|2.549189
Ris-Orangis|29643|48.645666|2.416507
Charenton-le-Pont|29632|48.823948|2.407129
Maubeuge|29625|50.284569|3.965341
